比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分,上半场进球系数
239,1,1,2,1,1,2,0,0,0,1,2,0,0,0,1,1,2,0,1,1,1,2,0,1,0.800000
411,0,0,0,1,1,3,0,1,0,1,3,0,1,0,1,2,1,1,0,1,2,1,1,0,2.400000
475,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,3,0,0,0,1,3,0,0,0,0.800000
478,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,3,0,1,0,1,3,0,1,0,1.200000
479,0,0,0,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,0,1,2,1,1,0,3.200000
491,1,2,0,1,1,3,0,2,0,1,3,0,2,0,1,0,0,0,0,1,0,0,0,0,2.400000
515,1,2,2,1,2,4,3,3,1,2,4,3,3,1,2,5,2,4,1,2,5,2,4,1,5.000000
517,1,0,3,1,1,1,2,1,0,1,1,2,1,0,1,1,0,0,0,1,1,0,0,0,1.200000
518,0,0,0,1,1,2,3,2,2,1,2,3,2,2,2,7,4,3,0,2,7,4,3,0,5.800000
520,1,1,2,1,1,1,3,0,1,1,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0.800000
521,0,0,0,0,1,1,3,1,2,1,1,3,1,2,1,2,1,0,1,1,2,1,0,1,3.600000
522,1,0,1,0,1,1,2,0,1,1,1,2,0,1,1,2,2,1,1,1,2,2,1,1,2.800000
528,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0.800000
529,0,0,0,1,1,3,2,0,2,1,3,2,0,2,1,0,1,0,0,1,0,1,0,0,1.600000
532,1,2,3,1,1,3,0,3,0,1,3,0,3,0,1,3,3,1,2,1,3,3,1,2,6.400000
533,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,3,1,1,1,1,3,1,1,2.000000
534,0,0,0,1,1,0,1,0,1,1,0,1,0,1,2,5,4,5,3,2,5,4,5,3,5.000000
535,1,2,0,1,2,7,5,4,4,2,7,5,4,4,2,1,2,1,1,2,1,2,1,1,5.000000
536,1,1,0,1,2,0,1,0,0,2,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0.000000
537,0,0,0,0,2,0,1,0,1,2,0,1,0,1,2,3,2,0,2,2,3,2,0,2,1.200000
538,1,0,1,0,2,3,1,2,0,2,3,1,2,0,1,1,0,1,0,1,1,0,1,0,2.400000
539,0,0,0,1,1,0,1,0,1,1,0,1,0,1,2,6,2,2,1,2,6,2,2,1,2.400000
540,0,0,0,0,1,1,1,0,0,1,1,1,0,0,2,0,1,0,0,2,0,1,0,0,0.000000
542,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,2.800000
543,1,2,2,1,1,1,2,0,1,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0.800000
544,1,1,1,1,1,0,4,0,2,1,0,4,0,2,1,2,1,1,0,1,2,1,1,0,2.800000
545,1,0,2,1,1,1,0,1,0,1,1,0,1,0,1,2,1,1,0,1,2,1,1,0,2.400000
546,1,2,1,1,1,1,1,0,1,1,1,1,0,1,1,4,0,2,0,1,4,0,2,0,3.200000
547,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,2.000000
551,1,0,1,1,1,1,2,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2.800000
553,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0.000000
570,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.000000
574,1,2,2,1,2,0,2,0,0,2,0,2,0,0,2,4,3,2,1,2,4,3,2,1,1.600000
575,0,0,0,1,1,0,2,0,1,1,0,2,0,1,2,2,0,0,0,2,2,0,0,0,0.800000
577,1,3,0,0,2,0,2,0,0,2,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0.000000
579,1,0,1,1,1,0,1,0,0,1,0,1,0,0,2,4,0,3,0,2,4,0,3,0,1.800000
580,1,1,0,0,1,2,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0.000000
581,0,0,0,1,1,2,1,1,0,1,2,1,1,0,1,2,2,2,1,1,2,2,2,1,4.400000
583,1,1,1,1,1,1,2,0,1,1,1,2,0,1,1,1,0,0,0,1,1,0,0,0,0.800000
600,1,1,3,1,1,1,3,0,2,1,1,3,0,2,1,1,1,0,1,1,1,1,0,1,2.400000
632,1,1,0,1,1,2,1,1,0,1,2,1,1,0,1,0,1,0,0,1,0,1,0,0,1.200000
633,1,1,2,1,1,0,2,0,2,1,0,2,0,2,1,1,2,0,2,1,1,2,0,2,3.200000
643,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2.800000
775,1,1,1,1,1,2,3,2,1,1,2,3,2,1,1,2,1,0,1,1,2,1,0,1,4.000000
809,1,1,2,1,1,1,2,0,2,1,1,2,0,2,1,0,3,0,3,1,0,3,0,3,4.000000
835,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1.200000
1015,1,0,1,1,1,1,2,0,1,1,1,2,0,1,2,1,3,0,3,2,1,3,0,3,2.000000
1017,1,1,0,1,1,2,2,1,1,1,2,2,1,1,1,0,2,0,0,1,0,2,0,0,2.000000
1029,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,3,0,1,0,1,3,0,1,0,2.000000
1042,0,0,0,0,1,2,0,1,0,1,2,0,1,0,1,4,1,2,0,1,4,1,2,0,3.600000
1043,1,1,0,1,1,1,3,1,1,1,1,3,1,1,1,2,0,1,0,1,2,0,1,0,3.200000
1054,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1.200000
1112,1,1,3,1,1,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1,0,3,0,1,0.800000
1136,0,0,0,1,1,0,3,0,1,1,0,3,0,1,1,1,1,0,1,1,1,1,0,1,1.600000
1138,1,2,0,1,1,1,0,0,0,1,1,0,0,0,1,4,0,0,0,1,4,0,0,0,0.000000
1267,1,0,2,1,2,2,5,2,3,2,2,5,2,3,2,3,1,2,0,2,3,1,2,0,3.600000
1268,0,0,0,1,1,4,1,3,1,1,4,1,3,1,2,4,1,2,0,2,4,1,2,0,5.600000
1269,1,1,0,0,1,1,0,0,0,1,1,0,0,0,2,2,4,2,3,2,2,4,2,3,2.400000
1271,0,0,0,0,1,0,2,0,0,1,0,2,0,0,2,2,5,1,4,2,2,5,1,4,2.200000
1275,1,1,1,1,2,0,3,0,1,2,0,3,0,1,1,0,1,0,0,1,0,1,0,0,0.400000
1327,0,0,0,1,1,2,3,2,2,1,2,3,2,2,1,2,0,1,0,1,2,0,1,0,5.200000
1332,1,0,1,1,1,2,2,2,1,1,2,2,2,1,1,3,1,1,1,1,3,1,1,1,5.200000
1339,0,0,0,1,1,5,0,2,0,1,5,0,2,0,1,1,2,0,1,1,1,2,0,1,3.200000
1411,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.000000
1418,1,0,2,1,1,1,2,0,0,1,1,2,0,0,1,2,1,2,1,1,2,1,2,1,3.200000
1457,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,4,0,1,1,0,4,0,1,0.800000
1462,1,0,1,1,2,2,1,0,1,2,2,1,0,1,1,3,1,3,1,1,3,1,3,1,4.800000
1464,1,2,0,1,1,1,3,1,3,1,1,3,1,3,1,1,2,1,0,1,1,2,1,0,4.800000
1467,1,0,1,1,1,1,2,1,0,1,1,2,1,0,1,3,2,0,1,1,3,2,0,1,2.000000
1570,1,2,0,1,2,7,2,0,1,2,7,2,0,1,1,1,1,1,0,1,1,1,1,0,1.600000
1571,1,1,1,1,2,2,6,1,1,2,2,6,1,1,2,5,4,2,1,2,5,4,2,1,2.600000
1572,0,0,0,1,2,2,5,0,1,2,2,5,0,1,1,2,0,0,0,1,2,0,0,0,0.400000
1573,0,0,0,1,2,3,1,1,0,2,3,1,1,0,3,10,5,2,1,3,10,5,2,1,1.666667
1574,1,1,2,1,2,3,0,1,0,2,3,0,1,0,3,3,11,2,2,3,3,11,2,2,1.933333
1575,1,2,0,0,1,1,0,1,0,1,1,0,1,0,3,10,5,3,2,3,10,5,3,2,2.933333
1576,1,1,0,1,3,3,5,0,1,3,3,5,0,1,1,0,1,0,1,1,0,1,0,1,1.066667
1577,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,3,0,1,1,0,3,0,1,1.600000
1578,1,2,1,1,1,2,0,1,0,1,2,0,1,0,1,1,0,1,0,1,1,0,1,0,2.400000
1579,1,0,2,1,1,0,3,0,0,1,0,3,0,0,2,4,4,1,2,2,4,4,1,2,1.400000
1581,0,0,0,0,3,2,3,1,3,3,2,3,1,3,1,0,1,0,0,1,0,1,0,0,1.200000
1582,1,1,1,1,2,0,4,0,1,2,0,4,0,1,1,1,1,0,0,1,1,1,0,0,0.400000
1584,1,0,2,1,1,1,3,0,2,1,1,3,0,2,2,1,2,0,0,2,1,2,0,0,1.600000
1587,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,4.000000
1588,1,2,0,1,1,1,0,0,0,1,1,0,0,0,1,2,0,1,0,1,2,0,1,0,1.200000
1590,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1.200000
1606,1,1,0,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,6.000000
1607,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0.800000
1608,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1.200000
1610,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,2,2,0,1,2.800000
1648,1,0,1,1,1,2,1,1,1,1,2,1,1,1,1,3,0,2,0,1,3,0,2,0,4.400000
1713,1,3,0,1,1,1,1,0,0,1,1,1,0,0,1,0,2,0,0,1,0,2,0,0,0.000000
1722,1,0,1,1,1,0,2,0,2,1,0,2,0,2,1,0,1,0,1,1,0,1,0,1,2.400000
1741,1,1,0,1,1,0,1,0,1,1,0,1,0,1,2,6,1,2,1,2,6,1,2,1,2.400000
1761,1,2,1,1,1,1,0,1,0,1,1,0,1,0,1,2,0,2,0,1,2,0,2,0,3.600000
1762,0,0,0,1,1,0,4,0,0,1,0,4,0,0,1,2,0,2,0,1,2,0,2,0,2.400000
1763,1,1,3,1,1,0,2,0,2,1,0,2,0,2,1,4,0,0,0,1,4,0,0,0,1.600000
1767,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,2,0,1,0,1,2,0,1,0,1.200000
1768,1,1,0,1,1,2,0,0,0,1,2,0,0,0,1,4,1,0,0,1,4,1,0,0,0.000000
1770,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,1,0,2,0,0,0.000000
1772,1,4,0,1,1,2,0,0,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0.000000
1773,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1.200000
1774,0,0,0,1,1,1,4,1,1,1,1,4,1,1,1,0,2,0,1,1,0,2,0,1,2.800000
1775,0,0,0,1,1,2,0,1,0,1,2,0,1,0,1,4,1,1,1,1,4,1,1,1,3.200000
1778,1,1,1,1,1,4,0,3,0,1,4,0,3,0,1,2,0,1,0,1,2,0,1,0,4.800000
1779,1,0,1,1,1,2,0,1,0,1,2,0,1,0,1,3,1,0,1,1,3,1,0,1,2.000000
1780,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,3,1,1,1,1,3,1,1,1,5.200000
1783,1,0,1,1,1,3,5,1,2,1,3,5,1,2,3,5,10,4,3,3,5,10,4,3,5.200000
1784,1,1,1,1,1,3,0,2,0,1,3,0,2,0,1,4,0,1,0,1,4,0,1,0,3.600000
1791,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,2,0,1,0,1.200000
1792,0,0,0,1,1,2,1,0,1,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0.800000
1824,0,0,0,1,1,4,0,2,0,1,4,0,2,0,1,1,0,1,0,1,1,0,1,0,3.600000
1830,0,0,0,1,1,1,2,0,2,1,1,2,0,2,1,1,0,1,0,1,1,0,1,0,2.800000
1832,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,2.000000
1834,0,0,0,1,1,2,0,1,0,1,2,0,1,0,1,1,0,1,0,1,1,0,1,0,2.400000
1835,1,1,0,1,2,0,0,0,0,2,0,0,0,0,2,2,2,1,0,2,2,2,1,0,0.600000
1837,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.800000
1844,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1.200000
1852,1,5,1,1,1,0,2,0,2,1,0,2,0,2,1,0,1,0,1,1,0,1,0,1,2.400000
1859,0,0,0,1,1,0,4,0,2,1,0,4,0,2,1,0,2,0,1,1,0,2,0,1,2.400000
1861,0,0,0,1,1,0,4,0,1,1,0,4,0,1,1,2,3,2,0,1,2,3,2,0,3.200000
1867,1,1,1,1,1,2,1,1,0,1,2,1,1,0,1,1,1,1,0,1,1,1,1,0,2.400000
1920,0,0,0,1,1,0,3,0,2,1,0,3,0,2,1,0,4,0,2,1,0,4,0,2,3.200000
1935,0,0,0,1,1,1,2,1,0,1,1,2,1,0,1,1,5,0,3,1,1,5,0,3,3.600000
1942,1,1,0,1,1,4,1,2,1,1,4,1,2,1,1,2,1,0,1,1,2,1,0,1,4.000000
1976,0,0,0,1,2,2,3,1,2,2,2,3,1,2,1,2,1,0,1,1,2,1,0,1,2.200000
1978,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,8,1,5,1,1,8,1,5,6.400000
1980,1,0,2,1,1,4,2,3,2,1,4,2,3,2,1,0,2,0,0,1,0,2,0,0,5.200000
1981,1,1,1,1,1,1,2,0,1,1,1,2,0,1,1,2,1,0,0,1,2,1,0,0,0.800000
1982,1,1,0,1,1,2,0,0,0,1,2,0,0,0,1,2,2,1,2,1,2,2,1,2,2.800000
1983,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,2,2,1,1,2,2,2,1,3.200000
1988,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,2,1,1,0,1,2,1,1,0,1.200000
1991,0,0,0,1,2,10,3,5,1,2,10,3,5,1,1,1,2,1,1,1,1,2,1,1,5.400000
1992,1,0,1,1,2,2,4,1,3,2,2,4,1,3,1,1,1,0,1,1,1,1,0,1,2.600000
1994,0,0,0,1,1,3,0,2,0,1,3,0,2,0,1,2,2,0,0,1,2,2,0,0,2.400000
2053,1,1,0,1,1,0,2,0,1,1,0,2,0,1,1,0,1,0,0,1,0,1,0,0,0.800000
2098,1,1,0,1,2,3,3,1,3,2,3,3,1,3,2,3,3,3,1,2,3,3,3,1,4.000000
2148,1,1,2,1,1,2,1,2,0,1,2,1,2,0,1,0,3,0,2,1,0,3,0,2,4.000000
2172,1,1,0,1,1,3,2,2,2,1,3,2,2,2,1,2,1,1,1,1,2,1,1,1,6.000000
2173,0,0,0,1,1,1,3,0,0,1,1,3,0,0,1,3,3,2,1,1,3,3,2,1,3.200000
2174,1,0,2,1,1,1,2,0,1,1,1,2,0,1,1,1,2,0,2,1,1,2,0,2,2.400000
2205,0,0,0,1,2,1,4,1,2,2,1,4,1,2,2,3,1,1,1,2,3,1,1,1,2.400000
2206,1,2,1,1,2,0,1,0,0,2,0,1,0,0,2,2,0,1,0,2,2,0,1,0,0.600000
2267,0,0,0,1,2,1,3,1,1,2,1,3,1,1,1,1,0,0,0,1,1,0,0,0,1.000000
2268,1,1,0,1,2,2,1,0,0,2,2,1,0,0,1,1,0,0,0,1,1,0,0,0,0.000000
2269,0,0,0,1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0.800000
2270,1,0,1,1,2,2,3,1,2,2,2,3,1,2,2,3,3,2,1,2,3,3,2,1,3.000000
2272,1,0,1,1,1,1,3,0,2,1,1,3,0,2,1,2,1,0,1,1,2,1,0,1,2.400000
2284,1,1,0,1,2,5,3,2,1,2,5,3,2,1,2,6,1,3,1,2,6,1,3,1,3.800000
2293,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0.000000
2299,1,2,0,1,3,7,3,2,2,3,7,3,2,2,2,2,2,1,1,2,2,2,1,1,2.333333
2300,1,1,2,1,4,7,12,5,3,4,7,12,5,3,2,5,7,1,3,2,5,7,1,3,3.900000
2301,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0.000000
2328,1,0,1,1,1,2,1,2,0,1,2,1,2,0,1,3,1,0,0,1,3,1,0,0,2.400000
2332,1,0,2,1,1,0,3,0,1,1,0,3,0,1,1,0,2,0,2,1,0,2,0,2,2.400000
2343,1,2,0,1,2,6,1,3,0,2,6,1,3,0,1,3,0,2,0,1,3,0,2,0,4.200000
2345,1,0,1,1,1,4,0,2,0,1,4,0,2,0,1,0,2,0,0,1,0,2,0,0,2.400000
2346,0,0,0,1,2,3,0,1,0,2,3,0,1,0,1,0,1,0,0,1,0,1,0,0,0.600000
2350,1,0,1,1,1,1,3,0,1,1,1,3,0,1,1,1,2,1,0,1,1,2,1,0,2.000000
2385,1,3,0,1,1,2,0,0,0,1,2,0,0,0,1,1,3,1,1,1,1,3,1,1,2.000000
2404,1,1,0,1,1,1,2,1,1,1,1,2,1,1,1,4,0,2,0,1,4,0,2,0,4.400000
2416,1,2,1,1,2,0,3,0,2,2,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0.800000
2427,1,2,0,0,2,4,1,4,1,2,4,1,4,1,2,3,3,1,0,2,3,3,1,0,3.400000
2428,1,0,1,1,1,0,1,0,0,1,0,1,0,0,2,5,4,1,1,2,5,4,1,1,1.000000
2429,1,0,1,0,1,2,1,1,0,1,2,1,1,0,1,3,0,1,0,1,3,0,1,0,2.400000
2432,1,3,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0.800000
2440,1,1,1,0,2,4,3,1,1,2,4,3,1,1,1,1,0,1,0,1,1,0,1,0,2.200000
2442,1,1,0,1,2,6,1,2,0,2,6,1,2,0,1,1,2,0,1,1,1,2,0,1,2.000000
2443,1,1,0,1,2,0,3,0,2,2,0,3,0,2,2,2,3,1,1,2,2,3,1,1,1.800000
2444,1,0,1,0,2,2,0,0,0,2,2,0,0,0,2,3,5,3,3,2,3,5,3,3,3.000000
2448,1,3,0,1,2,5,1,2,0,2,5,1,2,0,1,1,3,0,1,1,1,3,0,1,2.000000
2451,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.000000
2471,1,0,1,1,2,1,3,1,2,2,1,3,1,2,1,3,1,2,0,1,3,1,2,0,3.800000
2472,1,1,0,0,1,2,1,2,1,1,2,1,2,1,1,1,0,0,0,1,1,0,0,0,3.200000
2473,1,1,0,1,2,3,2,1,2,2,3,2,1,2,2,4,0,2,0,2,4,0,2,0,2.600000
2474,0,0,0,1,3,5,5,3,1,3,5,5,3,1,3,4,5,1,3,3,4,5,1,3,2.666667
2491,1,4,1,1,1,2,3,1,0,1,2,3,1,0,1,2,1,1,0,1,2,1,1,0,2.400000
2505,1,2,0,1,1,2,2,1,0,1,2,2,1,0,1,0,1,0,1,1,0,1,0,1,2.000000
2512,0,0,0,1,1,1,2,1,1,1,1,2,1,1,2,1,2,0,1,2,1,2,0,1,2.400000
2516,0,0,0,1,2,2,1,0,0,2,2,1,0,0,2,1,0,0,0,2,1,0,0,0,0.000000
2522,1,1,1,1,1,0,2,0,1,1,0,2,0,1,1,1,4,0,0,1,1,4,0,0,0.800000
2534,1,1,0,1,2,3,5,2,4,2,3,5,2,4,1,0,1,0,1,1,0,1,0,1,3.600000
2538,1,1,1,1,1,2,1,2,0,1,2,1,2,0,2,4,2,3,2,2,4,2,3,2,5.000000
2544,0,0,0,1,1,1,2,0,1,1,1,2,0,1,1,2,1,1,0,1,2,1,1,0,2.000000
2550,0,0,0,1,1,2,3,2,2,1,2,3,2,2,2,3,2,1,2,2,3,2,1,2,5.400000
2551,1,0,2,1,2,4,3,3,2,2,4,3,3,2,1,1,2,1,1,1,1,2,1,1,4.600000
2559,1,1,1,0,1,0,2,0,1,1,0,2,0,1,1,1,1,0,0,1,1,1,0,0,0.800000
2560,1,1,0,1,1,2,1,0,0,1,2,1,0,0,1,1,1,0,0,1,1,1,0,0,0.000000
2561,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,2,0,1,0,1,2,0,1,0,1.200000
2562,1,1,1,1,1,1,3,0,1,1,1,3,0,1,1,1,0,0,0,1,1,0,0,0,0.800000
2564,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,1,2,0,0,0.000000
2567,1,2,0,1,1,0,1,0,0,1,0,1,0,0,1,2,0,1,0,1,2,0,1,0,1.200000
2572,1,0,1,1,1,3,0,0,0,1,3,0,0,0,1,3,0,1,0,1,3,0,1,0,1.200000
2574,1,2,0,1,2,2,0,1,0,2,2,0,1,0,2,3,1,1,0,2,3,1,1,0,1.200000
2575,0,0,0,1,1,4,0,1,0,1,4,0,1,0,1,1,1,0,1,1,1,1,0,1,2.000000
2581,0,0,0,1,3,4,2,1,1,3,4,2,1,1,3,5,5,2,3,3,5,5,2,3,2.266667
2582,1,0,1,1,1,1,1,1,0,1,1,1,1,0,3,4,2,2,1,3,4,2,2,1,2.266667
2589,1,0,1,1,3,4,4,1,3,3,4,4,1,3,2,11,4,5,2,2,11,4,5,2,5.000000
2617,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0.000000
2622,1,0,2,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,2.000000
2623,0,0,0,1,1,0,1,0,1,1,0,1,0,1,3,4,0,1,0,3,4,0,1,0,1.200000
2625,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,2.000000
2626,1,2,1,1,1,2,1,0,1,1,2,1,0,1,2,2,4,2,1,2,2,4,2,1,2.400000
2629,1,2,0,1,1,0,7,0,4,1,0,7,0,4,1,2,0,0,0,1,2,0,0,0,3.200000
2630,1,2,0,1,1,2,0,0,0,1,2,0,0,0,1,4,0,1,0,1,4,0,1,0,1.200000
2632,1,0,1,0,2,0,2,0,1,2,0,2,0,1,1,1,0,0,0,1,1,0,0,0,0.400000
2635,1,1,0,0,3,7,8,3,4,3,7,8,3,4,1,0,4,0,1,1,0,4,0,1,3.066667
2637,0,0,0,1,1,2,0,0,0,1,2,0,0,0,1,2,2,2,0,1,2,2,2,0,2.400000
2638,1,1,0,0,1,3,0,1,0,1,3,0,1,0,1,4,2,2,1,1,4,2,2,1,4.400000
2639,1,1,1,1,1,2,4,1,2,1,2,4,1,2,1,0,3,0,1,1,0,3,0,1,3.600000
2640,1,0,1,1,1,2,2,0,2,1,2,2,0,2,1,1,3,1,3,1,1,3,1,3,5.200000
2641,1,1,1,1,1,0,2,0,0,1,0,2,0,0,1,1,1,0,0,1,1,1,0,0,0.000000
2642,1,1,0,1,1,3,1,3,1,1,3,1,3,1,1,1,1,0,0,1,1,1,0,0,4.400000
2644,1,1,1,1,1,2,0,0,0,1,2,0,0,0,1,1,2,0,2,1,1,2,0,2,1.600000
2645,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,0,2,1,1,2,0,2,3.600000
2646,1,0,1,1,1,2,1,0,1,1,2,1,0,1,1,1,1,0,0,1,1,1,0,0,0.800000
2647,1,2,0,1,1,1,0,1,0,1,1,0,1,0,1,2,1,0,1,1,2,1,0,1,2.000000
2648,0,0,0,1,1,2,2,0,2,1,2,2,0,2,2,0,5,0,2,2,0,5,0,2,2.400000
2649,1,1,0,1,1,2,2,2,0,1,2,2,2,0,1,2,1,1,0,1,2,1,1,0,3.600000
2650,0,0,0,1,1,1,1,0,0,1,1,1,0,0,2,3,3,3,0,2,3,3,3,0,1.800000
2653,0,0,0,1,1,1,2,0,1,1,1,2,0,1,1,2,2,0,2,1,2,2,0,2,2.400000
2654,0,0,0,0,1,2,2,0,0,1,2,2,0,0,2,3,5,3,3,2,3,5,3,3,3.000000
2655,1,2,0,1,1,5,0,3,0,1,5,0,3,0,1,0,3,0,2,1,0,3,0,2,5.200000
2662,1,0,3,1,1,1,2,1,0,1,1,2,1,0,1,3,1,1,0,1,3,1,1,0,2.400000
2666,1,2,0,1,2,4,1,3,1,2,4,1,3,1,1,2,1,1,0,1,2,1,1,0,3.400000
2677,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,2,1,0,3,0,2,1.600000
2684,1,1,0,1,1,2,0,2,0,1,2,0,2,0,1,1,4,0,1,1,1,4,0,1,3.200000
2691,1,0,3,1,1,0,2,0,0,1,0,2,0,0,1,7,0,4,0,1,7,0,4,0,4.800000
2700,1,1,0,1,2,4,2,3,0,2,4,2,3,0,2,2,4,2,1,2,2,4,2,1,3.400000
2718,1,2,0,1,3,6,2,2,2,3,6,2,2,2,2,2,1,0,1,2,2,1,0,1,1.733333
2722,0,0,0,0,2,1,1,0,1,2,1,1,0,1,3,1,4,1,3,3,1,4,1,3,1.600000
2723,0,0,0,1,2,4,1,3,0,2,4,1,3,0,2,3,1,3,1,2,3,1,3,1,4.000000
2724,0,0,0,1,2,4,1,2,0,2,4,1,2,0,2,3,3,1,2,2,3,3,1,2,2.600000
2725,1,1,1,1,4,11,8,6,4,4,11,8,6,4,2,1,3,0,2,2,1,3,0,2,3.400000
2727,1,3,0,1,1,3,1,2,1,1,3,1,2,1,2,3,3,2,2,2,3,3,2,2,5.200000
2729,1,0,1,0,3,6,1,4,0,3,6,1,4,0,3,6,5,1,2,3,6,5,1,2,2.533333
2730,1,1,0,1,3,7,5,3,0,3,7,5,3,0,2,7,2,4,2,2,7,2,4,2,4.400000
2731,0,0,0,1,3,4,6,2,1,3,4,6,2,1,2,2,5,1,3,2,2,5,1,3,2.866667
2732,1,2,0,1,4,7,8,6,3,4,7,8,6,3,1,0,1,0,0,1,0,1,0,0,2.400000
2735,1,2,1,1,4,11,8,6,5,4,11,8,6,5,2,0,2,0,1,2,0,2,0,1,3.200000
2736,1,0,2,1,2,1,4,1,1,2,1,4,1,1,4,1,6,1,3,4,1,6,1,3,1.900000
2737,1,2,0,1,4,9,3,3,1,4,9,3,3,1,3,0,1,0,1,3,0,1,0,1,1.366667
2738,1,0,1,1,2,4,2,0,1,2,4,2,0,1,3,1,6,1,2,3,1,6,1,2,1.333333
2739,0,0,0,1,1,1,0,0,0,1,1,0,0,0,4,6,3,3,1,4,6,3,3,1,1.100000
2741,1,1,0,1,2,2,1,2,0,2,2,1,2,0,4,6,6,3,1,4,6,6,3,1,2.300000
2760,0,0,0,1,2,0,7,0,3,2,0,7,0,3,1,0,1,0,1,1,0,1,0,1,2.000000
2763,1,1,0,1,1,1,3,0,1,1,1,3,0,1,3,2,2,1,1,3,2,2,1,1,1.466667
